"","tube.id","sample_name","type","duplicates","species","genet.ID","Away.nursery","Home.nursery"
"1","1","Acer1","sample","","Acer","ML78","Mote","Mote"
"2","10","Acer10","sample","","Acer","Acer093","Mote","CRF"
"3","100","Acer100","sample","","Acer","ML10","Mote","Mote"
"4","101","Acer101","sample","","Acer","ML3","Mote","Mote"
"5","102","Acer102","sample","","Acer","Acerv3","Mote","UM"
"6","103","Acer103","sample","","Acer","Acer002","Mote","CRF"
"7","104","Acer104","sample","","Acer","4a","Mote","NSU"
"8","105","Acer105","sample","","Acer","ML62","Mote","Mote"
"9","106","Acer106","sample","","Acer","ML38","Mote","Mote"
"10","107","Acer107","sample","","Acer","ML6","Mote","Mote"
"11","108","Acer108","sample","","Acer","FM14","UM","FWC"
"12","109","Acer109","sample","","Acer","ML63","UM","Mote"
"13","11","Acer11","sample","","Acer","ML5","Mote","Mote"
"14","110","Acer110","sample","","Acer","ML20","UM","Mote"
"15","111","Acer111","sample","","Acer","14","UM","NSU"
"16","112","Acer112","sample","","Acer","FM19","UM","Mote"
"17","113","Acer113","sample","","Acer","MiamiBeachD","UM","UM"
"18","114","Acer114","sample","","Acer","ML46","UM","Mote"
"19","115","Acer115","sample","","Acer","5","UM","NSU"
"20","116","Acer116","sample","","Acer","5a","UM","NSU"
"21","117","Acer117","sample","","Acer","ML88","UM","Mote"
"22","118","Acer118","sample","","Acer","TDT1","UM","FWC"
"23","119","Acer119","sample","","Acer","StagreefA","UM","UM"
"24","12","Acer12","sample","","Acer","ML75","FWC","Mote"
"25","120","Acer120","sample","","Acer","Cheetosb","UM","UM"
"26","121","Acer121","sample","","Acer","ML51","UM","Mote"
"27","122","Acer122","sample","","Acer","14","UM","NSU"
"28","123","Acer123","sample","","Acer","ML36","UM","Mote"
"29","124","Acer124","sample","","Acer","3a","UM","NSU"
"30","125","Acer125","sample","","Acer","Acerv1","UM","UM"
"31","126","Acer126","sample","","Acer","FM21","UM","FWC"
"32","127","Acer127","sample","","Acer","YungsA","UM","UM"
"33","128","Acer128","sample","","Acer","Acer057","UM","CRF"
"34","129","Acer129","sample","","Acer",NA,NA,NA
"35","13","Acer13","sample","","Acer","ML47","FWC","Mote"
"36","130","Acer130","sample","","Acer","Marker9","UM","UM"
"37","131","Acer131","sample","","Acer","NorthMidchannelA","UM","UM"
"38","132","Acer132","sample","","Acer","15","UM","NSU"
"39","133","Acer133","sample","","Acer","Acerv3","UM","UM"
"40","134","Acer134","sample","","Acer",NA,NA,NA
"41","135","Acer135","sample","","Acer","Acerv2","UM","UM"
"42","136","Acer136","sample","","Acer","2","UM","NSU"
"43","137","Acer137","sample","","Acer","Elkhorn","UM","UM"
"44","138","Acer138","sample","","Acer","ML44","UM","Mote"
"45","139","Acer139","sample","","Acer","ML58","UM","Mote"
"46","14","Acer14","sample","","Acer","FM12","FWC","FWC"
"47","140","Acer140","sample","","Acer","ML80","UM","Mote"
"48","141","Acer141","sample","","Acer","ML13","UM","Mote"
"49","142","Acer142","sample","","Acer","SunnyIslesC","UM","UM"
"50","143","Acer143","sample","","Acer","ML48","UM","Mote"
"51","144","Acer144","sample","","Acer","ML70","UM","Mote"
"52","145","Acer145","sample","","Acer","Acer103","UM","CRF"
"53","146","Acer146","sample","","Acer","StephsA","UM","UM"
"54","147","Acer147","sample","","Acer","FM6","UM","FWC"
"55","148","Acer148","sample","","Acer","4","UM","NSU"
"56","149","Acer149","sample","","Acer","4a","UM","NSU"
"57","15","Acer15","sample","","Acer","ML63","FWC","Mote"
"58","150","Acer150","sample","","Acer","ML56","UM","Mote"
"59","151","Acer151","sample","","Acer","ML4","UM","Mote"
"60","152","Acer152","sample","","Acer","8","UM","NSU"
"61","153","Acer153","sample","","Acer","1","UM","NSU"
"62","154","Acer154","sample","","Acer","ML8","UM","Mote"
"63","155","Acer155","sample","","Acer","6a","UM","NSU"
"64","156","Acer156","sample","","Acer","2a","UM","NSU"
"65","157","Acer157","sample","","Acer","FM20","UM","FWC"
"66","158","Acer158","sample","","Acer","Thicket3","UM","UM"
"67","159","Acer159","sample","","Acer","ML10","UM","Mote"
"68","16","Acer16","sample","","Acer","TDT2","FWC","FWC"
"69","160","Acer160","sample","","Acer","FM12","UM","FWC"
"70","161","Acer161","sample","","Acer","FM9","UM","FWC"
"71","162","Acer162","sample","","Acer","TDT2","UM","FWC"
"72","163","Acer163b","sample","dup","Acer","13","UM","NSU"
"73","164","Acer164","sample","","Acer","8a","UM","NSU"
"74","165","Acer165","sample","","Acer","6","UM","NSU"
"75","166","Acer166","sample","","Acer","ML47","UM","Mote"
"76","167","Acer167","sample","","Acer","ML54","UM","Mote"
"77","168","Acer168","sample","","Acer","Kelseys1","UM","UM"
"78","169","Acer169","sample","","Acer","ML75","UM","Mote"
"79","17","Acer17","sample","","Acer","CoopersA","FWC","UM"
"80","170","Acer170","sample","","Acer","20","UM","NSU"
"81","171","Acer171","sample","","Acer","ML77","UM","Mote"
"82","172","Acer172","sample","","Acer","FM13","UM","FWC"
"83","173","Acer173","sample","","Acer","Acer126","UM","CRF"
"84","174","Acer174","sample","","Acer","CoopersA","UM","UM"
"85","175","Acer175","sample","","Acer","5","UM","NSU"
"86","176","Acer176","sample","","Acer","ML38","UM","Mote"
"87","177","Acer177","sample","","Acer","ML78","UM","Mote"
"88","178","Acer178","sample","","Acer","ML76","UM","Mote"
"89","179","Acer179","sample","","Acer","9a","UM","NSU"
"90","18","Acer18","sample","","Acer","Acer057","FWC","CRF"
"91","180","Acer180","sample","","Acer","ML79","UM","Mote"
"92","181","Acer181","sample","","Acer","5","NSU","NSU"
"93","182","Acer182","sample","","Acer","StagreefA","NSU","UM"
"94","183","Acer183","sample","","Acer","Cheetosb","NSU","UM"
"95","184","Acer184","sample","","Acer","2a","NSU","NSU"
"96","185","Acer185","sample","","Acer","13","NSU","NSU"
"97","186","Acer186","sample","","Acer","Elkhorn","NSU","UM"
"98","187","Acer187","sample","","Acer","Acer062","NSU","CRF"
"99","188","Acer188","sample","","Acer","Acer057","NSU","CRF"
"100","189","Acer189","sample","","Acer","2","NSU","NSU"
"101","19","Acer19","sample","","Acer","SunnyIslesC","FWC","UM"
"102","190","Acer190","sample","","Acer","FM21","NSU","FWC"
"103","191","Acer191","sample","","Acer","ML20","NSU","Mote"
"104","192","Acer192","sample","","Acer","1","NSU","NSU"
"105","193","Acer193","sample","","Acer","Acer117","NSU","CRF"
"106","194","Acer194","sample","","Acer","ML51","NSU","Mote"
"107","195","Acer195","sample","","Acer","Acerv2","NSU","UM"
"108","196","Acer196","sample","","Acer","ML13","NSU","Mote"
"109","197","Acer197","sample","","Acer","SunnyIslesC","NSU","UM"
"110","198","Acer198","sample","","Acer","9a","NSU","NSU"
"111","199","Acer199","sample","","Acer","6","NSU","NSU"
"112","2","Acer2","sample","","Acer","ML29","Mote","Mote"
"113","20","Acer20","sample","","Acer","FM19","FWC","Mote"
"114","200","Acer200","sample","","Acer","6a","NSU","NSU"
"115","201","Acer201","sample","","Acer","Acer014","NSU","CRF"
"116","202","Acer202","sample","","Acer","Acerv1","NSU","UM"
"117","203","Acer203","sample","","Acer","8a","NSU","NSU"
"118","204","Acer204","sample","","Acer","4","NSU","NSU"
"119","205","Acer205","sample","","Acer","8","NSU","NSU"
"120","206","Acer206","sample","","Acer","4a","NSU","NSU"
"121","207","Acer207R","sample","","Acer","MiamiBeachD","CRF","UM"
"122","207","Acer207R","sample","","Acer","ML13","CRF","Mote"
"123","207","Acer207","sample","dup","Acer","MiamiBeachD","CRF","UM"
"124","207","Acer207","sample","dup","Acer","ML13","CRF","Mote"
"125","208","Acer208","sample","dup","Acer","5a","CRF","NSU"
"126","208","Acer208","sample","dup","Acer","CoopersA","CRF","UM"
"127","208","Acer208R","sample","","Acer","5a","CRF","NSU"
"128","208","Acer208R","sample","","Acer","CoopersA","CRF","UM"
"129","209","Acer209","sample","","Acer","1","CRF","NSU"
"130","21","Acer21","sample","","Acer","FM21","FWC","FWC"
"131","210","Acer210","sample","","Acer","Acer091","CRF","CRF"
"132","211","Acer211","sample","","Acer","Acer126","CRF","CRF"
"133","212","Acer212R","sample","","Acer","ML10","CRF","Mote"
"134","212","Acer212R","sample","","Acer","Elkhorn","CRF","UM"
"135","212","Acer212","sample","dup","Acer","ML10","CRF","Mote"
"136","212","Acer212","sample","dup","Acer","Elkhorn","CRF","UM"
"137","213","Acer213","sample","","Acer","Acerv3","CRF","UM"
"138","214","Acer214","sample","","Acer","Acerv2","CRF","UM"
"139","215","Acer215R","sample","","Acer","StephsA","CRF","UM"
"140","215","Acer215R","sample","","Acer","2a","CRF","NSU"
"141","215","Acer215","sample","dup","Acer","StephsA","CRF","UM"
"142","215","Acer215","sample","dup","Acer","2a","CRF","NSU"
"143","216","Acer216","sample","","Acer","Acer123","CRF","CRF"
"144","217","Acer217R","sample","","Acer","ML38","CRF","Mote"
"145","217","Acer217R","sample","","Acer","Acer057","CRF","CRF"
"146","217","Acer217","sample","dup","Acer","ML38","CRF","Mote"
"147","217","Acer217","sample","dup","Acer","Acer057","CRF","CRF"
"148","218","Acer218","sample","","Acer","4a","CRF","NSU"
"149","219","Acer219","sample","","Acer","Acerv1","CRF","UM"
"150","22","Acer22","sample","","Acer","Acer002","FWC","CRF"
"151","220","Acer220","sample","","Acer","TDT2","CRF","FWC"
"152","221","Acer221","sample","","Acer","ML47","CRF","Mote"
"153","222","Acer222R","sample","","Acer","8","CRF","NSU"
"154","222","Acer222R","sample","","Acer","2a","CRF","NSU"
"155","222","Acer222","sample","dup","Acer","8","CRF","NSU"
"156","222","Acer222","sample","dup","Acer","2a","CRF","NSU"
"157","223","Acer223R","sample","","Acer","Acer117","CRF","CRF"
"158","223","Acer223R","sample","","Acer","14","CRF","NSU"
"159","223","Acer223","sample","dup","Acer","Acer117","CRF","CRF"
"160","223","Acer223","sample","dup","Acer","14","CRF","NSU"
"161","224","Acer224","sample","","Acer","5","CRF","NSU"
"162","225","Acer225","sample","dup","Acer","ML75","CRF","Mote"
"163","225","Acer225","sample","dup","Acer","Acer001","CRF","CRF"
"164","225","Acer225R","sample","","Acer","ML75","CRF","Mote"
"165","225","Acer225R","sample","","Acer","Acer001","CRF","CRF"
"166","226","Acer226","sample","","Acer","2","CRF","NSU"
"167","227","Acer227","sample","","Acer","ML78","CRF","Mote"
"168","228","Acer228","sample","","Acer","ML63","CRF","Mote"
"169","229","Acer229","sample","","Acer","8a","CRF","NSU"
"170","23","Acer23","sample","","Acer","FM9","FWC","FWC"
"171","230","Acer230","sample","","Acer","Acer014","CRF","CRF"
